Symbol,Last Traded Price ($),Closing Price ($),Price Change ($),Closing Bid ($),Closing Ask ($),Volume,Today's Range ($),52 Week Range ($),Total Prev Yr Div ($),Total Current Yr Div ($),Market,Date
138SL,4.14,3.9,-0.1,3.25,4.14,1604,3.90 -  4.14,3.01 - 5.75,0.13,,JMD,"May 10, 2024"
ASBH,38.47,36.62,-1.87,34.02,38.47,29,34.00 -  38.47,28.01 - 45.00,0.0126,,JMD,"May 10, 2024"
AFS,19.85,19.67,-1.45,18.73,21.1,6435,18.71 -  21.00,18.70 - 29.70,0.34,0.12,JMD,"May 10, 2024"
AMG,3.5,3.9,0.55,3.35,3.9,1013,3.50 -  3.90,1.80 - 4.00,0.1,,JMD,"May 10, 2024"
BIL,70.04,71.03,-0.59,72.0,72.18,11169,70.04 -  72.19,69.90 - 80.09,,1.634,JMD,"May 10, 2024"
BRG,7.24,7.58,1.51,7.24,11.5,115770,7.24 -  7.82,3.90 - 8.30,,,JMD,"May 10, 2024"
BPOW,3.71,3.71,0.34,3.13,3.7,8,3.71 -  3.71,2.00 - 4.20,0.04,,JMD,"May 10, 2024"
CAC,3.84,3.84,0.0,3.73,3.84,11,3.84 -  3.84,3.51 - 8.00,0.025,,JMD,"May 10, 2024"
CHL,13.0,13.0,0.0,12.45,13.0,35,13.00 -  13.00,10.98 - 22.30,0.31,0.155,JMD,"May 10, 2024"
CABROKERS,3.52,3.65,0.15,2.72,3.52,548,3.52 -  3.80,1.89 - 4.00,0.0267,,JMD,"May 10, 2024"
CCC,64.98,62.47,-0.1,64.95,64.98,25889,61.12 -  65.00,45.10 - 69.90,1.8976,,JMD,"May 10, 2024"
KREMI,4.18,3.64,-0.56,3.59,4.18,15003,3.58 -  4.18,2.76 - 4.98,,,JMD,"May 10, 2024"
CFF,1.69,1.69,-0.01,1.66,1.7,1747,1.69 -  1.69,1.03 - 1.92,0.05,,JMD,"May 10, 2024"
CPJ,8.2,8.31,-0.21,8.2,8.69,19126,8.20 -  8.69,8.00 - 12.00,,,JMD,"May 10, 2024"
CAR,8.97,8.95,0.01,8.95,8.97,350247,8.90 -  8.97,7.80 - 9.40,0.86,0.25,JMD,"May 10, 2024"
PURITY,2.18,2.18,0.11,2.04,2.18,10,2.18 -  2.18,1.80 - 2.99,,,JMD,"May 10, 2024"
DTL,2.0,1.87,-0.13,1.9,2.0,11003,1.87 -  2.00,1.50 - 2.42,,,JMD,"May 10, 2024"
DOLLA,2.73,2.75,-0.02,2.73,2.75,309489,2.73 -  2.79,1.71 - 3.00,0.066,0.04,JMD,"May 10, 2024"
DCOVE,21.0,21.0,0.6,20.4,21.0,1719,21.00 -  21.00,13.01 - 21.00,1.6,0.6,JMD,"May 10, 2024"
LEARN,0.94,0.87,0.02,0.86,0.94,94185,0.85 -  0.94,0.78 - 3.02,,,JMD,"May 10, 2024"
ELITE,1.58,1.58,0.04,1.54,1.58,2294,1.58 -  1.58,1.41 - 2.57,,,JMD,"May 10, 2024"
CPFV,39.99,37.34,-2.65,37.02,39.99,10007,37.02 -  39.99,30.00 - 43.80,0.006,0.0252,JMD,"May 10, 2024"
EPLY,37.01,37.45,-2.46,37.01,39.5,972,37.01 -  39.50,27.53 - 42.00,1.156,1.17,JMD,"May 10, 2024"
EFRESH,1.89,1.75,-0.15,1.73,1.89,205137,1.72 -  1.90,1.30 - 1.99,,,JMD,"May 10, 2024"
ECL,3.95,3.95,-0.02,3.81,3.95,5063,3.95 -  3.98,3.50 - 5.70,,,JMD,"May 10, 2024"
FIRSTROCKJMD,8.4,8.4,-1.29,8.45,10.47,45,8.40 -  8.40,6.00 - 11.59,,,JMD,"May 10, 2024"
FTNA,8.8,8.54,-0.29,8.21,8.79,81646,8.22 -  8.99,8.01 - 13.47,0.3,0.1,JMD,"May 10, 2024"
FOSRICH,2.15,2.15,0.0,2.12,2.15,117306212,2.08 -  2.18,1.80 - 3.13,0.021,,JMD,"May 10, 2024"
FESCO,3.44,3.33,-0.13,3.34,3.43,174130,3.26 -  3.45,3.00 - 4.20,,,JMD,"May 10, 2024"
GENAC,6.99,6.64,0.13,6.38,7.42,7,6.38 -  6.99,4.15 - 8.01,0.1964,,JMD,"May 10, 2024"
GK,76.0,74.73,1.19,75.5,76.0,30259,74.00 -  76.00,60.00 - 82.90,2.17,0.52,JMD,"May 10, 2024"
GHL,370.0,370.0,2.36,360.0,370.0,8,370.00 -  370.00,300.00 - 520.00,0.74,0.53,JMD,"May 10, 2024"
GWEST,1.04,0.95,0.0,0.93,1.04,41022,0.92 -  1.05,0.75 - 1.28,,,JMD,"May 10, 2024"
HONBUN,7.9,7.9,0.04,7.55,7.9,1242,7.90 -  7.91,5.62 - 8.50,0.16,0.13,JMD,"May 10, 2024"
