ORDER DATE,EQUITY ORDER NO,STATUS,STOCK EXCHANGE CODE,CURRENCY,EQUITY SYMBOL,ORDER TYPE,QUANTITY,AVERAGE FILL PRICE,ESTIMATED VALUE,TIME IN FORCE,TRANSACTION TYPE,LIMIT PRICE
5/9/2020,522608,FILLED,JSE,JA$,SLECTF,MARKET,4331,0.65,3291.56,GTW,SELL,0
5/9/2020,529609,FILLED,JSE,JA$,SCIJMD,MARKET,327,15.18,5843.49,GTW,SELL,0
6/10/2020,542532,FILLED,JSE,JA$,WSYNCO,MARKET,1,15.7,17.85,GTD,BUY,0
12/11/2020,537244,EXPIRED,JSE,JA$,WSYNCO,LIMIT,332,0,4976.68,GTD,BUY,14.99
13/11/2020,567718,EXPIRED,JSE,JA$,SEP,LIMIT,34,0,1972,GTD,BUY,58
18/11/2020,559023,FILLED,JSE,JA$,SEP,LIMIT,48,61,2928,GTW,BUY,61
15/12/2020,576215,EXPIRED,JSE,JA$,GK,LIMIT,33,0,2012.67,GTW,BUY,60.99
22/12/2020,526248,FILLED,JNR,JA$,MAILPC,LIMIT,4794,2.8,13423.2,GTD,SELL,2.8
19/12/2020,578487,FILLED,JSE,JA$,KEY,LIMIT,452,6.59,2983.2,GTM,BUY,6.6
19/12/2020,578227,FILLED,JSE,JA$,GK,LIMIT,32,61,1952,GTW,BUY,61
12/1/2021,585330,FILLED,JSE,JA$,SVL,LIMIT,169,17.5,2974.4,GTM,BUY,17.6
