Symbol,Closing_Price,Risk_Score,Risk_Category
MTL,0.069,0.8468303414595533,High
MPCCEL,0.3999,0.8454637888818006,High
TJH,0.0251,0.846679193046133,High
PROVEN,0.1099,0.8459130296623723,High
SIL,0.0182,0.8466563325946366,High
ASBH,0.269,0.8456618003656864,High
KEY,2.54,0.9087453007358597,High
MJE,8.9,0.8844544943812298,High
MEEG,9.52,0.8625710119548415,High
MDS,1.72,0.8971139900710013,High
MAILPAC,2.34,0.8847845351421613,High
LASF,1.71,0.901400186070201,High
KREMI,2.2,0.8683525325190722,High
KLE,1.15,0.9162721449853939,High
138SL,3.45,0.8594322793457834,High
138SLVR,232.85,0.9003148889337054,High
JMMBUS6.00,1.02,0.2,Low
JMMB7.50,1.0,0.2,Low
JFP,0.58,0.8961970688056055,High
JETCON,0.92,0.8994252077742447,High
ISP,8.7,0.9160484117315724,High
GWEST,0.76,0.8721448775190968,High
FIRSTROCKUSD,0.018,0.9462855216337616,High
FIRSTROCKJMD,9.6,0.8785046664490231,High
JMMBGLUSD8.50,1.1,0.9025454397597636,High
PAL,1.0,0.9060660823381036,High
ONE,0.94,0.9268796818677437,High
SCIUSD8.50E,10.0,0.8981386638517987,High
TROPICAL,2.04,0.9655724728972761,High
TJH8.0,1.8,0.8663435994122379,High
SRFUSD,0.0801,0.9849649916298986,High
SPURTREE,1.23,0.9434796141606909,High
SOS,1.48,0.8344087003298988,High
SELECTMD,0.78,0.9313042301979462,High
SELECTF,0.45,0.8658331775303499,High
SCIUSD8.00D,8.62,0.8886156094839985,High
EPLY7.75,20.0,0.9090729175392767,High
SCIJMD10.50C,100.5,0.8597900582182785,High
RPL,3.5,0.8943640161626164,High
RJR,1.2,0.9083548186163,High
PURITY,1.75,0.883398626644723,High
PULS,0.96,0.9164516859352976,High
PTL,1.03,0.8952837265241214,High
PJX,10.5,0.8681511259045679,High
FESCO,3.07,0.9103483800954246,High
XFUND,8.59,0.8945751902759951,High
CPJ,8.02,0.9328287587493318,High
1GS,0.41,0.8822666606937106,High
CAC,1.94,0.9214709007752717,High
EFRESH,2.07,0.8851702289704035,High
ELITE,1.26,0.9224390583901735,High
DTL,1.9,0.8768607526640124,High
EPLY7.25,20.0,0.8613382317417605,High
ENERGY,1.24,0.9614633907064795,High
BRG,7.75,0.8811161187373366,High
FOSRICH,2.55,0.89987960837887,High
QWI,0.76,0.9163130310992036,High
LAB,1.18,0.8685878235091928,High
JAMT,2.39,0.8711566755114597,High
JBG,28.95,0.9618063206872054,High
DCOVE,14.09,0.9534737353236221,High
JMMBGL,20.69,0.9043580533341455,High
SRFJMD,8.0,0.8760709465317547,High
IPCL,0.99,0.9054638075226809,High
AMG,2.6,0.9015862287893606,High
KEX,14.44,0.867254175177734,High
SML,6.77,0.8690312186423337,High
JP,24.5,0.8933457107142431,High
WIG,1.22,0.9501642898733789,High
LASD,4.3,0.8928775553778867,High
BIL,71.23,0.7392604166175671,High
SCIJMD,12.24,0.8637584051787794,High
FTNA,9.01,0.8278058629328728,High
CCC,83.59,0.8057493562199024,High
GENAC,5.25,0.8557836604128695,High
CFF,1.25,0.8691693439371093,High
CABROKERS,2.46,0.8753120862000178,High
BPOW,5.19,0.9098135422332431,High
LUMBER,2.95,0.9064955572626785,High
LASM,7.46,0.8809780274809245,High
MGL,7.48,0.8657997455375936,High
ECL,2.94,0.8630936032287446,High
SALF,3.24,0.8846989714252014,High
SEP,84.14,0.7525022263905674,High
DOLLA,2.52,0.9306397554415873,High
SCIUSD,0.07,0.880661031716651,High
JSE,12.69,0.8531391630311044,High
KW,26.48,0.8818727727207383,High
CHL,10.96,0.8921517556390053,High
SJ,44.0,0.6415130025295398,High
INDIES,3.56,0.9076843953770153,High
WISYNCO,21.29,0.5792950891781377,Moderate
HONBUN,8.39,0.8773526097835611,High
GHL,338.03,0.8895115968748624,High
VMIL,2.2,0.8791695610790516,High
EPLY,33.33,0.8876254508916663,High
AFS,17.29,0.872610068086653,High
CAR,16.06,0.7616092199297886,High
MASSY,78.53,0.9015306045868098,High
KPREIT,9.54,0.8787324116582702,High
SVL,19.93,0.9185259733805101,High
SGJ,53.19,0.8397699759601671,High
NCBFG,44.67,0.8768628775650154,High
JPS6,0.59,0.3774552066523785,Moderate
JPS9.5,2690.0,0.8049288786856417,High
GK,71.55,0.5377419039752437,Moderate
JPS7,44.5,0.8774878884287833,High
JMMBGL9.50,1.05,0.9031700569181749,High
CPFV,36.68,0.873105688228333,High
JPS5D,0.83,0.49012590041509785,Moderate
LEARN,0.26,0.9128893567764392,High
JPS5C,0.45,0.2,Low
JMMBGL7.35,2.9,0.7786561020861595,High
PJAM,51.53,0.8367175643824472,High
ROC,3.7,0.9402881242380476,High
JMMBGL7.15,2.96,0.8556236244005827,High
OMNI,0.87,0.9051408666693885,High
MFS,0.43,0.8903998596573957,High
TTECH,1.44,0.89607824844898,High
JMMBGL7.00NC,2.28,0.9104464520587283,High
JMMBGL5.50NC,2.0,0.7725217293057037,High
JMMBGL5.75C,2.05,0.8929546153498362,High
JMMBGL7.25C,1.99,0.8147155336593477,High
RAWILL,0.55,0.8902594016313616,High
ASBH6.00  (XD),1.0,0.2,Low
PBS,1.38,0.9893253582225129,High
PBS10.50,1060.0,0.8990026904328801,High
PBS9.25,10.46,0.8731148753360343,High
EPLY7.50,5.41,0.8741908553108757,High
ICREATE,0.4,0.8852403895478593,High
KNTYR,0.31,0.9399791863648597,High
